"Cluster","Number","Freq","HIV-","HIV+","HIV-_%","HIV+_%"
"0",4974,13.4650785056849,666,4308,6.09332113449222,16.562860438293
"1",4000,10.8283703302653,1025,2975,9.37785910338518,11.437908496732
"2",2890,7.82349756361668,647,2243,5.91948764867338,8.6236063052672
"3",2882,7.80184082295615,197,2685,1.80237877401647,10.322952710496
"4",1917,5.18949648077964,953,964,8.71912168344007,3.70626682045367
"5",1879,5.08662696264212,476,1403,4.35498627630375,5.39407920030757
"6",1688,4.56957227937195,685,1003,6.26715462031107,3.8562091503268
"7",1664,4.50460205739036,978,686,8.94784995425435,2.63744713571703
"8",1587,4.29615592853276,322,1265,2.94602012808783,4.86351403306421
"9",1559,4.2203573362209,785,774,7.18206770356816,2.9757785467128
"10",1550,4.1959935029778,480,1070,4.39158279963404,4.11380238369858
"11",1487,4.02544667027612,657,830,6.01097895699909,3.19108035371011
"12",1279,3.46237141310233,927,352,8.48124428179323,1.35332564398308
"13",1250,3.3838657282079,169,1081,1.54620311070448,4.15609381007305
"14",1021,2.76394152680022,653,368,5.9743824336688,1.41484044598231
"15",897,2.42826204656199,174,723,1.59194876486734,2.77970011534025
"16",879,2.3795343800758,123,756,1.12534309240622,2.90657439446367
"17",866,2.34434217650244,143,723,1.30832570905764,2.77970011534025
"18",722,1.95452084461289,46,676,0.420860018298262,2.59900038446751
"19",638,1.72712506767731,460,178,4.20860018298262,0.684352172241446
"20",340,0.92041147807255,69,271,0.631290027447392,1.04190695886198
"21",319,0.863562533838657,125,194,1.14364135407136,0.745866974240677
"22",285,0.771521386031402,74,211,0.677035681610247,0.81122645136486
"23",239,0.646995127233351,51,188,0.466605672461116,0.722798923490965
"24",128,0.346507850568489,45,83,0.411710887465691,0.319108035371011
"Total",36940,100,10930,26010,100,100
