"Cluster","Number","Freq","ASDC","B intermediate","B memory","B naive","CD14 Mono","CD16 Mono","CD4 CTL","CD4 Naive","CD4 Proliferating","CD4 TCM","CD4 TEM","CD8 Naive","CD8 Proliferating","CD8 TCM","CD8 TEM","cDC2","dnT","gdT","HSPC","ILC","MAIT","NK","NK Proliferating","NK_CD56bright","pDC","Plasmablast","Platelet","Treg","ASDC_%","B intermediate_%","B memory_%","B naive_%","CD14 Mono_%","CD16 Mono_%","CD4 CTL_%","CD4 Naive_%","CD4 Proliferating_%","CD4 TCM_%","CD4 TEM_%","CD8 Naive_%","CD8 Proliferating_%","CD8 TCM_%","CD8 TEM_%","cDC2_%","dnT_%","gdT_%","HSPC_%","ILC_%","MAIT_%","NK_%","NK Proliferating_%","NK_CD56bright_%","pDC_%","Plasmablast_%","Platelet_%","Treg_%"
"0",4974,13.4650785056849,0,0,0,0,0,0,0,2463,1,2368,0,70,0,5,2,1,6,4,0,0,1,1,0,0,0,0,0,52,0,0,0,0,0,0,0,51.2164691203993,0.06765899864682,15.0387399974597,0,1.65916093861105,0,0.76103500761035,0.0617665225447807,4.16666666666667,7.59493670886076,2.56410256410256,0,0,0.132100396301189,0.0548245614035088,0,0,0,0,0,7.47126436781609
"1",4000,10.8283703302653,0,0,0,0,0,0,1,65,3,3504,16,11,0,22,12,0,6,3,0,1,0,0,0,0,0,0,0,356,0,0,0,0,0,0,50,1.35163235599917,0.20297699594046,22.2532706719167,7.17488789237668,0.260725290353164,0,3.34855403348554,0.370599135268684,0,7.59493670886076,1.92307692307692,0,0.819672131147541,0,0,0,0,0,0,0,51.1494252873563
"2",2890,7.82349756361668,0,0,0,0,0,0,0,40,478,2316,0,35,1,5,1,0,2,2,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0.83177375753795,32.34100135318,14.7084973961641,0,0.829580469305523,1,0.76103500761035,0.0308832612723904,0,2.53164556962025,1.28205128205128,0,0,0,0,0.810810810810811,0,0,0,0,1.00574712643678
"3",2882,7.80184082295615,0,0,0,0,0,0,0,1321,0,1465,0,9,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,83,0,0,0,0,0,0,0,27.4693283426908,0,9.30395020957704,0,0.213320692107134,0,0,0.0308832612723904,0,0,0.641025641025641,0,0.819672131147541,0,0,0,0.344827586206897,0,0,0,11.9252873563218
"4",1917,5.18949648077964,0,0,0,0,0,0,0,43,2,68,0,1743,0,31,9,0,3,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.894156789353296,0.13531799729364,0.431855709386511,0,41.313107371415,0,4.71841704718417,0.277949351451513,0,3.79746835443038,10.2564102564103,0,0,0,0,0,0,0,0,0,0.28735632183908
"5",1879,5.08662696264212,0,0,0,0,0,0,0,65,1,123,4,1613,0,32,17,0,8,11,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1.35163235599917,0.06765899864682,0.78115076844913,1.79372197309417,38.2318084854231,0,4.87062404870624,0.525015441630636,0,10.126582278481,7.05128205128205,0,0.819672131147541,0,0,0,0,0,0,0,0.574712643678161
"6",1688,4.56957227937195,0,0,0,0,0,0,0,17,0,156,44,52,0,303,1045,0,35,19,0,3,3,3,1,1,0,0,0,6,0,0,0,0,0,0,0,0.353503846953629,0,0.990727803886701,19.7309417040359,1.23251955439678,0,46.1187214611872,32.2730080296479,0,44.3037974683544,12.1794871794872,0,2.45901639344262,0.396301188903567,0.164473684210526,0.27027027027027,0.344827586206897,0,0,0,0.862068965517241
"7",1664,4.50460205739036,0,0,0,0,0,0,0,5,683,678,0,255,17,5,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0.103971719692244,46.2110960757781,4.30585545535374,0,6.04408627636881,17,0.76103500761035,0,0,1.26582278481013,0,0,0,0,0,5.40540540540541,0,0,0,0,0
"8",1587,4.29615592853276,0,3,0,0,1,0,0,264,54,801,19,114,0,43,119,0,2,16,2,3,24,57,7,2,1,2,5,48,0,0.439882697947214,0,0,0.819672131147541,0,0,5.48970679975047,3.65358592692828,5.08700622380287,8.52017937219731,2.7020621000237,0,6.54490106544901,3.67510809141445,0,2.53164556962025,10.2564102564103,4.25531914893617,2.45901639344262,3.17040951122853,3.125,1.89189189189189,0.689655172413793,5.88235294117647,1.20481927710843,71.4285714285714,6.89655172413793
"9",1559,4.2203573362209,0,0,0,0,0,0,0,1,0,10,0,3,0,0,264,0,0,11,0,2,3,1241,16,6,0,0,1,1,0,0,0,0,0,0,0,0.0207943439384487,0,0.0635081925568398,0,0.0711068973690448,0,0,8.15318097591106,0,0,7.05128205128205,0,1.63934426229508,0.396301188903567,68.0372807017544,4.32432432432432,2.06896551724138,0,0,14.2857142857143,0.14367816091954
"10",1550,4.1959935029778,0,0,0,0,0,0,0,2,0,1422,70,4,0,17,12,1,1,0,0,0,8,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0.0415886878768975,0,9.03086498158262,31.390134529148,0.0948091964920597,0,2.58751902587519,0.370599135268684,4.16666666666667,1.26582278481013,0,0,0,1.05680317040951,0.0548245614035088,0,0,0,0,0,1.72413793103448
"11",1487,4.02544667027612,0,0,0,0,0,0,0,0,161,1258,0,10,6,2,3,0,0,0,0,3,3,0,12,0,0,0,0,29,0,0,0,0,0,0,0,0,10.893098782138,7.98933062365045,0,0.237022991230149,6,0.30441400304414,0.0926497838171711,0,0,0,0,2.45901639344262,0.396301188903567,0,3.24324324324324,0,0,0,0,4.16666666666667
"12",1279,3.46237141310233,0,0,0,0,0,0,1,10,0,15,1,0,1,3,1169,0,1,28,0,0,0,48,0,0,0,0,0,2,0,0,0,0,0,0,50,0.207943439384487,0,0.0952622888352598,0.448430493273543,0,1,0.45662100456621,36.1025324274243,0,1.26582278481013,17.9487179487179,0,0,0,2.63157894736842,0,0,0,0,0,0.28735632183908
