"Cluster","Number","Freq","ASDC","B intermediate","B memory","B naive","CD14 Mono","CD16 Mono","CD4 CTL","CD4 Naive","CD4 Proliferating","CD4 TCM","CD4 TEM","CD8 Naive","CD8 Proliferating","CD8 TCM","CD8 TEM","cDC2","dnT","gdT","HSPC","ILC","MAIT","NK","NK Proliferating","NK_CD56bright","pDC","Plasmablast","Platelet","Treg","ASDC_%","B intermediate_%","B memory_%","B naive_%","CD14 Mono_%","CD16 Mono_%","CD4 CTL_%","CD4 Naive_%","CD4 Proliferating_%","CD4 TCM_%","CD4 TEM_%","CD8 Naive_%","CD8 Proliferating_%","CD8 TCM_%","CD8 TEM_%","cDC2_%","dnT_%","gdT_%","HSPC_%","ILC_%","MAIT_%","NK_%","NK Proliferating_%","NK_CD56bright_%","pDC_%","Plasmablast_%","Platelet_%","Treg_%"
"13",1250,3.3838657282079,0,362,17,817,0,0,0,6,1,30,0,4,0,0,5,0,1,1,0,0,0,3,0,0,1,1,0,1,0,53.0791788856305,9.94152046783626,91.9010123734533,0,0,0,0.124766063630692,0.06765899864682,0.19052457767052,0,0.0948091964920597,0,0,0.154416306361952,0,1.26582278481013,0.641025641025641,0,0,0,0.164473684210526,0,0,5.88235294117647,0.602409638554217,0,0.14367816091954
"14",1021,2.76394152680022,0,0,0,0,0,0,0,0,1,10,0,1,1,0,33,0,0,1,0,42,1,407,246,277,0,0,0,1,0,0,0,0,0,0,0,0,0.06765899864682,0.0635081925568398,0,0.0237022991230149,1,0,1.01914762198888,0,0,0.641025641025641,0,34.4262295081967,0.132100396301189,22.3135964912281,66.4864864864865,95.5172413793103,0,0,0,0.14367816091954
"15",897,2.42826204656199,0,0,0,0,0,0,0,1,0,52,53,13,6,11,68,0,0,3,0,5,663,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0207943439384487,0,0.330242601295567,23.7668161434978,0.308129888599194,6,1.67427701674277,2.10006176652254,0,0,1.92307692307692,0,4.0983606557377,87.5825627476882,0.548245614035088,3.24324324324324,0,0,0,0,0
"16",879,2.3795343800758,0,10,4,6,7,0,0,86,36,469,8,36,5,6,57,5,7,5,4,50,13,18,3,0,1,4,1,38,0,1.46627565982405,2.33918128654971,0.674915635545557,5.73770491803279,0,0,1.78831357870659,2.43572395128552,2.97853423091579,3.58744394618834,0.853282768428538,5,0.91324200913242,1.76034589252625,20.8333333333333,8.86075949367089,3.2051282051282,8.51063829787234,40.9836065573771,1.71730515191546,0.986842105263158,0.810810810810811,0,5.88235294117647,2.40963855421687,14.2857142857143,5.45977011494253
"17",866,2.34434217650244,0,307,150,66,0,0,0,3,27,144,0,2,0,0,0,7,0,0,0,4,0,0,0,0,0,156,0,0,0,45.0146627565982,87.719298245614,7.42407199100112,0,0,0,0.0623830318153462,1.82679296346414,0.914517972818494,0,0.0474045982460299,0,0,0,29.1666666666667,0,0,0,3.27868852459016,0,0,0,0,0,93.9759036144578,0,0
"18",722,1.95452084461289,0,0,0,0,2,0,0,305,3,354,1,8,0,1,1,0,5,2,0,0,0,1,0,0,0,0,0,39,0,0,0,0,1.63934426229508,0,0,6.34227490122687,0.20297699594046,2.24819001651213,0.448430493273543,0.189618392984119,0,0.15220700152207,0.0308832612723904,0,6.32911392405063,1.28205128205128,0,0,0,0.0548245614035088,0,0,0,0,0,5.60344827586207
"19",638,1.72712506767731,0,0,0,0,0,0,0,6,19,134,0,65,60,3,310,0,0,0,0,0,0,2,37,0,0,2,0,0,0,0,0,0,0,0,0,0.124766063630692,1.28552097428958,0.851009780261654,0,1.54064944299597,60,0.45662100456621,9.57381099444101,0,0,0,0,0,0,0.109649122807018,10,0,0,1.20481927710843,0,0
"20",340,0.92041147807255,0,0,0,0,0,0,0,57,6,184,0,53,0,7,19,0,0,1,0,0,1,4,3,0,0,0,0,5,0,0,0,0,0,0,0,1.18527760449158,0.40595399188092,1.16855074304585,0,1.25622185351979,0,1.06544901065449,0.586781964175417,0,0,0.641025641025641,0,0,0.132100396301189,0.219298245614035,0.810810810810811,0,0,0,0,0.718390804597701
"21",319,0.863562533838657,15,0,0,0,112,34,0,1,1,27,1,2,1,0,17,10,0,0,41,6,7,21,5,3,14,1,0,0,100,0,0,0,91.8032786885246,100,0,0.0207943439384487,0.06765899864682,0.171472119903468,0.448430493273543,0.0474045982460299,1,0,0.525015441630636,41.6666666666667,0,0,87.2340425531915,4.91803278688525,0.924702774108322,1.15131578947368,1.35135135135135,1.03448275862069,82.3529411764706,0.602409638554217,0,0
"22",285,0.771521386031402,0,0,0,0,0,0,0,0,1,79,2,14,2,154,28,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.06765899864682,0.501714721199035,0.896860986547085,0.331832187722209,2,23.4398782343988,0.86473131562693,0,0,0.641025641025641,0,0,0.132100396301189,0,0,0,0,0,0,0.431034482758621
"23",239,0.646995127233351,0,0,0,0,0,0,0,48,0,77,0,101,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.99812850904554,0,0.489013082687667,0,2.39393221142451,0,0.15220700152207,0.0617665225447807,0,1.26582278481013,0,0,0,0.264200792602378,0,0,0,0,0,0,1.00574712643678
"24",128,0.346507850568489,0,0,0,0,0,0,0,0,0,2,4,1,0,6,44,0,0,31,0,1,27,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012701638511368,1.79372197309417,0.0237022991230149,0,0.91324200913242,1.35886349598518,0,0,19.8717948717949,0,0.819672131147541,3.5667107001321,0.383771929824561,1.35135135135135,0,0,0,0,0
"Total",36940,100,15,682,171,889,122,34,2,4809,1478,15746,223,4219,100,657,3238,24,79,156,47,122,757,1824,370,290,17,166,7,696,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
