"Cluster","Number","Freq","CD3","HIV_peptide","Med","CD3_%","HIV_peptide_%","Med_%"
"0",4974,13.4650785056849,825,2092,2057,5.5709365926126,22.0141008102704,16.2891986062718
"1",4000,10.8283703302653,1197,1234,1569,8.08292254709974,12.9853730400926,12.4247703515996
"2",2890,7.82349756361668,2877,11,2,19.4273752447836,0.115752920130485,0.0158378207158695
"3",2882,7.80184082295615,583,1147,1152,3.9367951921129,12.0698726717879,9.12258473234083
"4",1917,5.18949648077964,419,492,1006,2.82936052400567,5.17731242765443,7.96642382008236
"5",1879,5.08662696264212,547,642,690,3.69369977716254,6.75576133852468,5.46404814697498
"6",1688,4.56957227937195,452,425,811,3.05219798771018,4.47227191413238,6.42223630028508
"7",1664,4.50460205739036,1662,2,0,11.2229049902087,0.02104598547827,0
"8",1587,4.29615592853276,524,676,387,3.53838881761091,7.11354309165527,3.06461830852075
"9",1559,4.2203573362209,365,295,899,2.46471740158012,3.10428285804483,7.11910041178334
"10",1550,4.1959935029778,228,522,800,1.53960429468566,5.49300220982848,6.3351282863478
"11",1487,4.02544667027612,1425,17,45,9.6225268417854,0.178890876565295,0.356350966107064
"12",1279,3.46237141310233,431,128,720,2.91039232898913,1.34694307060928,5.70161545771302
"13",1250,3.3838657282079,66,557,627,0.445674927409008,5.8613069556982,4.96515679442509
"14",1021,2.76394152680022,583,120,318,3.9367951921129,1.2627591286962,2.51821349382325
"15",897,2.42826204656199,242,277,378,1.6341414004997,2.9148689887404,2.99334811529933
"16",879,2.3795343800758,522,157,200,3.52488351678034,1.6521098600442,1.58378207158695
"17",866,2.34434217650244,742,68,56,5.0104666081437,0.715563506261181,0.443458980044346
"18",722,1.95452084461289,134,273,315,0.904855155648592,2.87277701778386,2.49445676274945
"19",638,1.72712506767731,613,13,12,4.13937470457154,0.136798905608755,0.095026924295217
"20",340,0.92041147807255,139,89,112,0.938618407725032,0.936546353783016,0.886917960088692
"21",319,0.863562533838657,91,66,162,0.614491187791208,0.694517520782911,1.28286347798543
"22",285,0.771521386031402,42,94,149,0.283611317442096,0.989161317478691,1.17991764333228
"23",239,0.646995127233351,59,72,108,0.398406374501992,0.757655477217721,0.855242318656953
"24",128,0.346507850568489,41,34,53,0.276858667026808,0.35778175313059,0.419702248970542
"Total",36940,100,14809,9503,12628,100,100,100
